Filename,Morphology,Habitat,Interactions,Life history,Physiology, Behavior,Annotator,Done,Notes
Grasser2000,X,,,X,,X,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Griffiths2016,X,,,,,,Henrique,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Guareschi2015,X,X,X,X,,X,Alexandra,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Guariento2020,X,,,X,,X,Rafael,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Gutiérrez‐Chacón2019,X,X,X,,,X,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Habustova2017,X,X,X,X,,,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Harmon2013,X,,,,,,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Heiva2013,,X,,,,,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Hendriks2013,,X,X,X,,X,José,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Hertach2015,X,,,,,X,,,
Hill2024,X,,,,,,Francisco,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Huang2017,,,X,X,,,,,
Ibarra2021,X,X,X,,,,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Jelley2023,X,X,X,,,X,,,
Ji2024,X,,,,,,Gabriel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Jones2015,,,,,,X,Rafael,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Kaplan2007,,,X,,,,,,
Karban1997,X,,,X,,,,,
Keller1998,,,,X,,,Bruno,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Khayati2024,X,X,X,X,,X,José,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Kissik2018,X,X,X,X,,X,Gabriel,,
Korosi2022,,X,X,X,,X,José,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Kovacs2008,X,,,,,,Rafael,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Kovacs2010,X,,,,,,Rafael,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Koyama2015,X,,,X,,,,,
Kratschmer2019,X,X,X,,,,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Laha2020,X,,,,,,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Lee2009,X,,,,,,,,
Lee2010,X,,,,,,,,
Lee2012,X,,,,,,,,
Lee2022,,,X,X,,,,,
Lee2024,,,,X,,,,,
Leong2023,X,X,,,X,,Francisco,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Leong2023,X,X,,,X,,José,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Li2019,,,,X,,,,,
Lichtenberg2017,X,X,X,,,,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Liu2024,X,,,,,,Francisco,X,replace measurementType acronyms
Lizee2016,,,X,X,,,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Luo2023,X,,,,,,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Lynch1993,X,,X,,,,,,
MacDonald2021,X,,X,,,,Rafael,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Marshall2000,,,,,,X,,,
Martins2017,,,,,,X,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
McCravy2019,X,X,X,,,,José,X,Mariana Mora: OK; Mariana Mora Double Check: OK
McCune2023,,X,X,,,,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Melo2021,,X,X,,,,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
MiddletonWelling2018,X,X,X,X,,X,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Mirzaee2023,,,,X,,,David,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Mitchell1994,,,,,,X,,,
Modiba2017,X,,,,,X,Ana,,
Nelson2020,X,,X,,,X,Diogo,X,Mariana Mora: OK
Nelson2021,X,,X,X,,X,Miguel,X,Mariana Mora: OK
Noriega2023,X,,,,,X,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Normandin2017,X,,X,X,,,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Nunes2016,X,,X,,,,Francisco,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Oberdoester2007,X,,,,,X,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Ockermuller2023,X,X,X,X,,X,Gabriel,,
Odanaka2019,,X,X,,,,David,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Oliveira2022,X,,,,,,Alexandra,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Orlofsk2014,X,,,,,,Rafael,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Orr2024,X,,,,,,Rafael,X,Mariana Mora: OK; Mariana Mora Double Check: OK
OsorioCanadas2018,X,,X,X,,X,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
OsorioCanadas2018,X,,X,,,X,Diogo,X,OK; Mariana Mora Double Check: OK
PascacioVillafan2022,,,,X,,,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Penick2017,,,,X,X,X,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Pereira2016,,X,X,,,,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Pereira2016,,X,X,,,,Francisco,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Pessoa2017,X,,X,,,X,Miguel,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Peters2016,X,,,,,,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Potocký2018,X,X,X,X,,X,,,
Psomas2018,X,,,,,,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Puissant2010,X,,,,,X,,,
Quicke2023,X,,X,,,,David,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Raine2018,X,X,X,X,,,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
RamosGonzalez2024,X,,,,,,Francisco,X,replace abbreviations
Ratz2016,X,,,X,,X,,,
Rebrina2022,X,X,X,,,X,José,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Ren2023,X,,,,,,,,
Renoz2020,,,X,,,,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Rocha-Ortega 2023,,X,,,,,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Russo2017,X,,X,,,,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Santos2024,X,X,X,,X,X,Gabriel,,
Scalercio2020,X,,,X,,,Rafael,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Schat2024,X,X,,,,,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Schirmel2012,X,X,X,,,X,Alexandra,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Schofield2016,,X,,,,,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Shi2022,X,X,,,,,José,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Silva2021,X,X,,,X,X,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Simmons2002,,,X,,,X,,,
Simões2014,X,,,,,X,,,
Skuhrovec2022,X,,,,,,Francisco,X,replace measurementType acronyms
Sobieraj2024,X,X,X,,,,Ísis,,
Steed2022,X,X,X,X,,X,Diogo,X,Can't find the meanining of the abbreviations of phenology neither what the width referes to.
Steinert2020,X,X,X,,,,Diogo,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Stemkovski2020,X,X,,X,,,José,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Stucky2013,X,,,,,,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Suer2007,X,,,,,X,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Sultaire2021,X,,,,,,José,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Taillefer2012,,,X,,,,Ísis,,
Taillefer2018,X,X,X,X,,,Rafael,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Teder2020,X,,X,X,,,Catarina,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Tercel2018,X,,,,,,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Tielens2020,X,,X,,,X,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Tingting2023,X,X,X,,,,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Tomberlin2002,X,,X,X,,,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Tomberlin2009,X,,,X,,,Mafalda,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Tonelli2021,X,X,,,,,David,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Torok2022,X,X,X,,,,José,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Towsend1997,X,X,,X,,X,,,
Tran2022,,,,,,X,Rafael,X,Mariana Mora: OK
Traylor2024,X,,,,,,Mafalda,X,Mariana Mora: OK; Mariana Mora Double check: OK
Tsai2020,,,,,,X,Alexandra,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Uemori2021,X,X,X,X,,,José,X,Mariana Mora: OK; Mariana Mora Double check: OK
Uemori2022,X,X,X,X,,,José,X,Mariana Mora: OK; Mariana Mora Double check: OK
Ustjuzhanin2024,X,X,,,,,Francisco,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Vidal2023,X,X,X,,,X,Bruno,X,Mariana Mora: OK; Mariana Mora Double check: OK
Viza2023,X,X,,X,,X,Rafael,X,Mariana Mora: OK
Wallon2024,X,,X,,,X,Rafael,X,Mariana Mora: OK; Mariana Mora Double check: OK
Wang2021,X,,X,,,,Rafael,X,Mariana Mora: OK; Mariana Mora Double check: OK
Wang2021,X,X,X,,,,Rafael ,X,Mariana Mora: OK; Mariana Mora Double check: OK
Weber2023,,,X,,,X,Catarina,X,Mariana Mora: OK
Wiescher2012,X,X,,,X,X,Francisco,X,Mariana Mora: OK; Mariana Mora Double check: OK
Wiescher2012,X,,,,X,X,Henrique,,
Wijas2021,,X,X,,,,José ,X,Mariana Mora: OK; Mariana Mora Double check: OK
Wilker2022,X,,X,,,,José,X,Mariana Mora: OK; Mariana Mora Double check: OK
Wölfling2020,X,X,X,,,,Rafael,X,Mariana Mora: OK; Mariana Mora Double check: OK
Wright1999,,,,,,X,Mafalda,X,Mariana Mora: OK; Mariana Mora Double check: OK
Xia2022,X,,,,,,Francisco,X,Mariana Mora: OK; Mariana Mora Double check: OK
Xu2024,X,,X,,,,David,X,Mariana Mora: OK; Mariana Mora Double Check: OK
Yates2014,X,,,,,,Henrique,X,Mariana Mora: OK; Mariana Mora Double check: OK
Zhang2022,X,,,,,,José,X,Mariana Mora: OK; Mariana Mora Double check: OK
Zhang2022,X,,X,,,,José,X,Mariana Mora: OK; Mariana Mora Double check: OK
Zhang2025,,,,X,,,Mafalda,X,Mariana Mora: OK; Mariana Mora Double check: OK
Zhao2024,X,,,,,,Catarina,X,Mariana Mora: OK; Mariana Mora Double check: OK
