Species,N,HL Mean,HL SD,HW Mean,HW SD,ML Mean,ML SD,SL Mean,SL SD,EL Mean,EL SD,DI Mean,DI SD,FL Mean,FL SD,WL Mean,WL SD
Carebara audita,4,0.348,0.001,0.287,0.006,0.199,0.097,0.154,0.028,0.022,0,0.219,0.059,0.176,0.004,0.284,0.002
Carebara brevipilosa,8,0.44,0.026,0.421,0.016,0.277,0.021,0.307,0.014,0.011,0,0.405,0.021,0.326,0.018,0.497,0.019
Carebara globularia,8,0.303,0.005,0.236,0.012,0.185,0.041,0.148,0.007,0.014,0.016,0.072,0.079,0.134,0.014,0.279,0.011
Carebara striata,4,0.348,0,0.304,0,0.145,0.013,0.188,0.013,0.022,0,0.279,0.017,0.17,0.006,0.326,0.022
Carebara urichi,1,0.464,,,0.445,,0.432,,0.297,,0.002,,0.321,,,,0.342,,,,0.517,
Cephalotes atratus,1,2.461,,,3.341,,3.11,,0.68,,0.7,,0.987,,,,3.425,,,,3.343,
Cephalotes columbicus,1,1.313,,,1.455,,1.455,,0.178,,0.36,,0.53,,,,0.78,,,,1.135,
Cephalotes complanatus,1,1.61,,,2.16,,1.9,,0.255,,0.508,,0.435,,,,1.4,,,,1.9,
Cephalotes porrasi,1,1.087,,,1.217,,0.326,,0.522,,0.239,,0.978,,,,0.63,,,,1.109,
Crematogaster brasiliensis,8,0.675,0.004,0.698,0.006,0.542,0.13,0.433,0.161,0.154,0.006,0.661,0.035,1.001,0.012,0.806,0.008
Crematogaster carinata,1,0.671,,,0.665,,0.586,,0.326,,0.15,,0.645,,,,0.778,,,,0.775,
Crematogaster erecta,4,0.541,0.004,0.587,0,0.412,0.152,0.356,0.081,0.13,0.001,0.466,0.079,0.543,0,0.582,0.006
Crematogaster flavosensitiva,4,0.577,0.018,0.523,0.007,0.372,0.094,0.408,0.133,0.156,0.012,0.477,0.038,0.566,0.032,0.594,0.013
Crematogaster limata,12,0.707,0.095,0.708,0.082,0.446,0.12,0.58,0.226,0.168,0.037,0.648,0.072,0.811,0.107,0.83,0.129
Crematogaster nigropilosa,8,0.659,0.037,0.65,0.026,0.489,0.126,0.509,0.162,0.159,0.017,0.667,0.082,0.778,0.012,0.768,0.014
Crematogaster obscurata,4,0.56,0.015,0.538,0.023,0.415,0.077,0.242,0.126,0.144,0.013,0.436,0.053,0.464,0.022,0.554,0.031
Crematogaster stollii,1,0.957,,,1.087,,0.543,,0.652,,0.217,,1.022,,,,0.804,,,,1.152,
Cyphomyrmex costatus,12,0.545,0.034,0.455,0.044,0.395,0.027,0.225,0.045,0.104,0.009,0.322,0.011,0.527,0.085,0.667,0.022
Cyphomyrmex minutus,12,0.605,0.037,0.569,0.032,0.286,0.088,0.416,0.097,0.123,0.011,0.426,0.03,0.593,0.045,0.746,0.032
Cyphomyrmex rimosus,8,0.65,0.032,0.557,0.065,0.372,0.096,0.378,0.143,0.144,0.018,0.544,0.068,0.696,0.046,0.798,0.042
Cyphomyrmex sp. 4,4,0.587,0,0.552,0,0.428,0,0.251,0,0.112,0,0.445,0,0.534,0,0.715,0
Discothyrea humilis,4,0.368,0.003,0.302,0.003,0.195,0.092,0.162,0.048,0.019,0.004,0.227,0.048,0.215,0.003,0.39,0.002
Discothyrea neotropica,4,0.5,0,0.442,0.013,0.188,0.013,0.261,0.022,0.022,0,0.362,0.013,0.297,0.013,0.558,0.013
Discothyrea testacea,4,0.453,0.006,0.41,0.005,0.272,0.077,0.228,0.019,0.019,0.005,0.32,0.086,0.235,0.008,0.453,0.007
Dolichoderus bispinosus,1,1.655,,,1.724,,0.828,,1.517,,0.345,,1.034,,,,1.862,,,,2,
Dolichoderus sp. 2,1,1.78,,,1.859,,1.107,,0.36,,0.439,,1.317,,,,1.699,,,,1.566,
Ectatomma ruidum,8,1.744,0.068,1.622,0.254,1.088,0.191,1.518,0.168,0.45,0.041,1.294,0.29,2.277,0.277,2.776,0.143
Ectatomma tuberculatum,4,2.337,0.01,1.852,0.014,1.753,0.057,2.029,0.349,0.54,0.017,1.993,0.38,3.094,0.014,3.718,0.009
Eurhopalothrix pilulifera,1,0.565,,,0.543,,0.152,,0.326,,0.022,,0.391,,,,0.435,,,,0.587,
Gnamptogenys boliviensis,4,0.688,0.007,0.671,0.004,0.619,0.047,0.541,0.035,0.105,0.005,0.543,0.094,0.54,0.003,1.086,0.001
Gnamptogenys sp. 2,4,0.7,0.006,0.547,0.015,0.542,0.001,0.319,0.027,0.051,0.001,0.359,0.011,0.458,0.037,0.888,0.017
Holcoponera strigata,4,1.121,0.202,1.017,0.269,0.809,0.314,0.717,0.307,0.246,0.102,0.944,0.321,1.265,0.222,1.616,0.348
Hylomyrma columbica,4,0.891,,,0.87,,0.609,,0.63,,0.217,,0.783,,,,0.804,,,,1.174,
Hypoponera opacior,12,0.722,0.046,0.614,0.054,0.419,0.122,0.501,0.135,0.04,0.008,0.559,0.059,0.636,0.091,1.048,0.107
Hypoponera trigona,12,0.638,0.01,0.506,0.007,0.443,0.009,0.268,0.008,0.03,0.005,0.443,0.01,0.662,0.01,0.83,0.006
Labidus coecus,3,0.947,0.089,0.888,0.135,0.675,0.154,0.624,0.061,0.037,0.012,0.752,0.085,1.073,0.125,1.289,0.148
Labidus predator,8,1.439,0.01,1.309,0.008,1.027,0.015,1.044,0.053,0.043,0.007,1.136,0.057,2.072,0.009,2.07,0.01
Lachnomyrmex scrobiculatus,1,0.739,,,0.739,,0.37,,0.457,,0.152,,0.652,,,,0.63,,,,0.87,
Leptogenys ritae,12,0.769,0.027,0.539,0.021,0.411,0.069,0.569,0.111,0.099,0.014,0.536,0.071,0.639,0.035,1.106,0.06
Mayaponera arhuaca,8,1.247,0.084,1.127,0.035,0.898,0.101,0.963,0.065,0.159,0.022,1.004,0.047,1.183,0.035,1.814,0.079
Mayaponera constricta,8,1.55,0.014,1.265,0.075,1.061,0.102,1.436,0.256,0.291,0.008,1.164,0.343,1.838,0.047,2.508,0.075
Megalomyrmex drifti,4,0.567,0.057,0.453,0.041,0.319,0.054,0.334,0.156,0.132,0.02,0.366,0.059,0.463,0.051,0.69,0.118
Megalomyrmex incisus,4,0.696,0,0.598,0.015,0.402,0.015,0.598,0.015,0.196,0,0.5,0.031,0.772,0.046,0.935,0.031
Megalomyrmex longinoi,4,0.582,0.007,0.475,0.005,0.322,0.036,0.55,0.298,0.181,0.005,0.531,0.32,0.738,0.002,0.802,0.004
Megalomyrmex silvestrii,8,0.767,0.022,0.596,0.037,0.423,0.026,0.848,0.262,0.209,0.01,0.571,0.233,1.001,0.024,1.162,0.02
Monomorium floricola,3,0.42,0.048,0.337,0.03,0.232,0.058,0.263,0.101,0.073,0.013,0.312,0.026,0.285,0.059,0.451,0.04
Mycetomoellerius sp. 1,1,0.602,,,0.605,,0.556,,0.432,,0.102,,0.469,,,,0.581,,,,0.821,
Mycocepurus curvispinosus,4,0.645,0.021,0.614,0.01,0.523,0.093,0.47,0.021,0.109,0.007,0.531,0.042,0.562,0.012,0.824,0.012
Myrmicocripta sp. 2,1,0.761,,,0.63,,0.413,,0.63,,0.065,,0.587,,,,0.696,,,,0.913,
Myrmicocrypta urichi,8,0.693,0.017,0.553,0.013,0.371,0.037,0.517,0.134,0.097,0.011,0.517,0.091,0.722,0.042,0.865,0.031
Neoponera apicalis,3,2.486,0.004,2.139,0.002,1.763,0.432,2.418,0.482,0.828,0,2.105,0.928,3.659,0.006,4.209,0.004
Neoponera carinulata,4,1.499,0.016,1.383,0.006,1.092,0.025,1.293,0.148,0.448,0.03,1.159,0.199,1.638,0.017,2.293,0.016
Neoponera verenae,1,2.463,,,2.119,,1.413,,2.044,,0.818,,2.729,,,,3.631,,,,4.176,
Nesomyrmex sp. 1,1,0.866,,,0.778,,0.685,,0.228,,0.187,,0.434,,,,0.67,,,,0.907,
Nomamyrmex esenbeckii,1,1.437,,,1.333,,1.022,,0.462,,0.083,,0.797,,,,1.531,,,,2.054,
Nylanderia guatemalensis,12,0.609,0.028,0.501,0.026,0.311,0.026,0.576,0.26,0.147,0.013,0.381,0.128,0.708,0.043,0.771,0.061
Octostruma amrishi,12,0.525,0.034,0.559,0.045,0.245,0.14,0.248,0.061,0.046,0.008,0.433,0.109,0.381,0.051,0.573,0.08
Octostruma iheringi,4,0.589,0.004,0.653,0.008,0.541,0.008,0.176,0.006,0.065,0.008,0.326,0.006,0.433,0.005,0.739,0.006
Odontomachus bauri,4,2.472,0.029,1.809,0.192,1.395,0.107,1.598,0.723,0.441,0.058,2.225,0.308,2.628,0.148,2.555,0.382
Odontomachus brunneus,4,2.114,0.055,1.612,0.045,1.192,0.004,1.236,0.417,0.289,0.028,1.52,0.199,1.99,0.023,2.073,0.236
Odontomachus laticeps,4,2.446,0.013,1.717,0.008,1.326,0.006,1.262,0.014,0.402,0.007,2.35,0.009,2.544,0.007,2.369,0.004
Odontomachus opaciventris,12,2.767,0.43,2.144,0.274,1.668,0.216,2.399,0.733,0.504,0.084,2.05,0.572,2.965,0.4,3.38,0.412
Pachycondyla harpax,12,1.928,0.101,1.828,0.105,1.412,0.274,1.344,0.225,0.394,0.065,1.501,0.09,1.757,0.167,2.926,0.229
Pachycondyla Impressa,8,2.991,0.055,2.843,0.067,1.981,0.211,2.141,0.342,0.543,0.03,2.245,0.099,2.796,0.083,4.107,0.055
Paratrachymyrmex bugnioni,8,0.777,0.076,0.735,0.075,0.491,0.047,0.56,0.17,0.128,0.011,0.652,0.1,0.911,0.135,1.08,0.125
Paratrachymyrmex cornetzi,4,0.92,0.012,0.942,0.012,0.699,0.105,0.767,0.126,0.142,0.011,0.803,0.02,1.206,0.029,1.38,0.066
Paratrachymyrmex irmgardae,4,0.805,0.158,0.788,0.214,0.685,0.173,0.433,0.262,0.124,0.023,0.672,0.192,0.968,0.355,1.118,0.418
Pheidole biconstricta,4,0.768,0.146,0.681,0.131,0.5,0.078,0.777,0.557,0.166,0.035,0.65,0.082,1.015,0.389,1.01,0.312
Pheidole distorta,1,0.565,,,0.587,,0.413,,0.543,,0.13,,0.587,,,,0.609,,,,0.674,
Pheidole fimbriata,4,0.848,0,0.826,0.001,0.717,0.123,0.775,0.195,0.067,0.003,0.858,0.075,1.045,0.002,1.11,0.002
Pheidole flavens,12,0.439,0.032,0.385,0.022,0.266,0.044,0.315,0.072,0.081,0.008,0.345,0.03,0.335,0.034,0.463,0.027
Pheidole mendicula,12,0.392,0.021,0.384,0.019,0.272,0.069,0.283,0.05,0.079,0.01,0.349,0.025,0.298,0.013,0.419,0.013
Pheidole pugnax,12,0.66,0.024,0.617,0.029,0.463,0.092,0.636,0.179,0.148,0.024,0.598,0.086,0.732,0.203,0.851,0.046
Pheidole sp. 1,12,0.663,0.014,0.634,0.006,0.549,0.009,0.265,0.019,0.108,0.002,0.578,0.008,0.806,0.013,0.786,0.009
Pheidole sp. 12,8,0.482,0.007,0.461,0.005,0.438,0.007,0.329,0.003,0.086,0.007,0.415,0.007,0.436,0.006,0.546,0.006
Pheidole sp. 13,8,0.482,0.007,0.418,0.009,0.395,0.007,0.267,0.008,0.091,0.007,0.396,0.005,0.396,0.006,0.507,0.007
Pheidole sp. 17,3,0.661,0.047,0.594,0.119,0.431,0.074,0.72,0.259,0.11,0.002,0.59,0.254,0.907,0.062,0.935,0.043
Pheidole sp. 18,3,0.478,0.031,0.435,0.031,0.272,0.015,0.522,0.061,0.087,0,0.391,0.031,0.511,0.046,0.576,0.015
Pheidole sp. 2,8,0.803,0.007,0.694,0.008,0.628,0.011,0.431,0.006,0.195,0.01,1.058,0.008,1.106,0.009,1.107,0.002
Pheidole sp. 4,8,0.494,0.021,0.442,0.013,0.307,0.044,0.446,0.107,0.099,0.011,0.436,0.065,0.507,0.044,0.594,0.018
Pheidole sp. 5,8,0.512,0.039,0.472,0.014,0.4,0.065,0.397,0.071,0.085,0.002,0.465,0.045,0.504,0.033,0.612,0.005
Pheidole sp. 9,8,0.55,0.004,0.516,0.005,0.448,0.008,0.336,0.005,0.119,0.006,0.424,0.007,0.47,0.005,0.596,0.006
Pheidole subarmata,12,0.498,0.022,0.458,0.024,0.365,0.069,0.377,0.07,0.113,0.005,0.425,0.03,0.494,0.029,0.621,0.05
Pheidole susannae,4,0.659,0.008,0.517,0.002,0.439,0.005,0.251,0.007,0.134,0.007,0.807,0.014,1.034,0.069,0.795,0.006
Pheidole synarmata,4,0.513,0.041,0.473,0.033,0.354,0.056,0.392,0.042,0.099,0.014,0.425,0.011,0.441,0.021,0.566,0.026
Pheidole transversostriata,4,0.501,0.176,0.426,0.111,0.355,0.124,0.246,0.06,0.068,0.01,0.292,0.062,0.371,0.086,0.465,0.055
Pheidole zeteki,12,0.404,0.025,0.374,0.018,0.222,0.024,0.309,0.036,0.078,0.019,0.335,0.019,0.326,0.031,0.422,0.052
Pogonomyrmex mayri,8,1.985,0.064,1.742,0.034,1.189,0.227,1.535,0.334,0.274,0.003,1.569,0.067,2.363,0.034,2.294,0.034
Prionopelta antillana,1,0.509,,,0.447,,0.44,,0.107,,0.029,,0.265,,,,0.475,,,,0.667,
Probolomyrmex boliviensis,2,0.75,0.046,0.446,0.015,0.228,0.015,0.554,0.015,0,0,0,0,0.641,0.046,1.054,0.077
Proceratium catio,1,0.609,,,0.587,,0.348,,0.413,,0.022,,0.543,,,,0.413,,,,0.739,
Pseudomyrmex boopis,1,1.217,,,1,,0.587,,0.609,,0.804,,0.696,,,,1.13,,,,1.652,
Pseudomyrmex mordax,1,0.989,,,0.913,,0.467,,0.391,,0.413,,0.674,,,,0.761,,,,1.37,
Pseudomyrmex simplex,4,1.223,0.007,1.004,0.01,0.701,0.011,0.591,0.006,0.809,0.008,0.612,0.011,1.137,0.01,1.659,0.012
Pseudomyrmex sp. 4,1,1.976,,,1.62,,0.93,,0.41,,1.198,,0.92,,,,1.852,,,,2.756,
Rasopone pluviselva,1,1.261,,,1.152,,0.761,,0.891,,0.152,,0.978,,,,0.87,,,,1.739,
Rhopalothrix isthmica,1,0.566,,,0.551,,0.393,,0.157,,0.026,,0.328,,,,0.445,,,,0.593,
Rogeria belti,8,0.607,0.11,0.521,0.103,0.421,0.144,0.275,0.086,0.078,0.011,0.406,0.072,0.446,0.085,0.588,0.081
Rogeria ciliosa,1,0.63,,,0.543,,0.348,,0.478,,0.065,,0.5,,,,0.5,,,,0.717,
Rogeria curvipubens,12,0.528,0.022,0.449,0.015,0.319,0.093,0.316,0.044,0.058,0.009,0.384,0.031,0.359,0.027,0.542,0.02
Rogeria foreli,8,0.628,0.032,0.542,0.044,0.349,0.043,0.401,0.068,0.073,0.013,0.483,0.055,0.501,0.002,0.676,0.047
Sericomyrmex amabilis,4,1.087,0.061,1.261,0.061,0.707,0.015,0.815,0.015,0.185,0.015,1.033,0.015,1.196,0.154,1.565,0.031
Solenopsis azteca,12,0.34,0.043,0.281,0.024,0.19,0.04,0.245,0.07,0.03,0.012,0.275,0.054,0.217,0.022,0.357,0.031
Solenopsis geminata,12,0.557,0.011,0.551,0.012,0.498,0.004,0.17,0.004,0.101,0.005,0.519,0.007,0.587,0.014,0.635,0.031
Solenopsis picea,12,0.474,0.011,0.406,0.029,0.394,0.025,0.099,0.002,0.045,0.004,0.254,0.024,0.351,0.006,0.457,0.013
Stegomyrmex manni,2,1.339,0.289,1.237,0.25,0.859,0.108,0.753,0.257,0.107,0.002,0.918,0.177,1.17,0.067,1.716,0.125
Strumigenys biolleyi,1,0.674,,,0.543,,0.391,,0.413,,0.087,,0.326,,,,0.522,,,,0.696,
Strumigenys cordovensis,4,0.826,0.022,0.638,0.013,4.543,6.269,0.688,0.033,0.072,0.013,0.377,0.013,0.775,0.025,0.841,0.025
Strumigenys deltisquama,12,0.634,0.098,0.625,0.14,0.357,0.033,0.312,0.023,0.059,0.009,0.337,0.118,0.419,0.047,0.638,0.111
Strumigenys denticulata,4,0.465,0.007,0.354,0.006,1.597,1.063,0.343,0.052,0.189,0.145,0.262,0.039,0.308,0.003,0.482,0.003
Strumigenys dyseides,4,0.391,0,0.326,0,0.227,0.014,0.238,0.032,0.025,0.004,0.246,0.01,0.285,0.003,0.432,0.003
Strumigenys eggersi,12,0.442,0.011,0.362,0.009,0.266,0.035,0.248,0.032,0.044,0.002,0.21,0.009,0.269,0.017,0.451,0.016
Strumigenys elongata,12,0.587,0.014,0.446,0.012,0.319,0.011,0.377,0.011,0.043,0,0.268,0.011,0.428,0.011,0.554,0.012
Strumigenys fridericimuelleri,12,0.47,0.011,0.34,0.011,0.151,0.034,0.192,0.033,0.043,0.001,0.188,0.026,0.274,0.038,0.462,0.045
Strumigenys lanuginosa,12,0.62,0.038,0.484,0.021,0.375,0.011,0.342,0.011,0.06,0.011,0.288,0.011,0.473,0.033,0.674,0.031
Strumigenys marginiventris,8,0.742,0.03,0.555,0.109,0.505,0.1,0.554,0.034,0.083,0.01,0.384,0.082,0.548,0.035,0.732,0.019
Strumigenys subedentata,4,0.494,0.024,0.421,0.012,0.293,0.011,0.273,0.011,0.051,0.012,0.267,0.013,0.362,0.026,0.523,0.037
Strumigenys zeteki,8,0.488,0.022,0.352,0.012,0.211,0.03,0.194,0.016,0.041,0.004,0.162,0.026,0.314,0.021,0.547,0.049
Syscia sp. 1,3,0.686,0.027,0.557,0.026,0.203,0.176,0.366,0.102,0,0,0.105,0.182,0.35,0.303,0.884,0.067
Tapinoma ramulorum,1,0.488,,,0.411,,0.273,,0.121,,0.089,,0.427,,,,0.435,,,,0.488,
Thaumatomyrmex atrox,4,0.687,0.004,0.712,0.006,0.631,0.006,0.672,0.006,0.227,0.006,0.578,0.001,0.713,0.005,1.145,0.006
Thaumatomyrmex zeteki,8,0.67,0.045,0.681,0.034,0.644,0.024,0.567,0.067,0.2,0.02,0.577,0.028,0.687,0.024,1.121,0.023
Trichomyrmex destructor,8,0.685,0.003,0.603,0.003,0.525,0.003,0.167,0.004,0.09,0.003,0.502,0.004,0.53,0.004,0.674,0.004
Wasmannia auropunctata,12,0.458,0.014,0.409,0.021,0.236,0.057,0.345,0.072,0.094,0.005,0.355,0.009,0.358,0.096,0.476,0.015
